state,station,fiscal_year,note,value,station_name,group,subgroup
Alabama,"Tuscaloosa, Alabama",2024,,10842.0,Tuscaloosa,Alabama,Tuscaloosa
Alabama,"Birmingham, Alabama",2024,,38157.0,Birmingham,Alabama,Birmingham
Alabama,"Anniston, Alabama",2024,,4286.0,Anniston,Alabama,Anniston
Arizona,"Yuma, Arizona",2024,,4583.0,Yuma,Arizona,Yuma
Arizona,"Winslow, Arizona",2024,,3717.0,Winslow,Arizona,Winslow
Arizona,"Tucson, Arizona",2024,,21993.0,Tucson,Arizona,Tucson
Arizona,"Maricopa, Arizona",2024,,11441.0,Maricopa,Arizona,Maricopa
Arizona,"Kingman, Arizona",2024,,8028.0,Kingman,Arizona,Kingman
Arizona,"Flagstaff, Arizona",2024,,30471.0,Flagstaff,Arizona,Flagstaff
Arizona,"Benson, Arizona",2024,,2071.0,Benson,Arizona,Benson
Arkansas,"Walnut Ridge, Arkansas",2024,,3593.0,Walnut Ridge,Arkansas,Walnut Ridge
Arkansas,"Texarkana, Arkansas",2024,,6160.0,Texarkana,Arkansas,Texarkana
Arkansas,"Malvern, Arkansas",2024,,2006.0,Malvern,Arkansas,Malvern
Arkansas,"Little Rock, Arkansas",2024,,22369.0,Little Rock,Arkansas,Little Rock
Arkansas,"Hope, Arkansas",2024,,1637.0,Hope,Arkansas,Hope
Arkansas,"Arkadelphia, Arkansas",2024,,1296.0,Arkadelphia,Arkansas,Arkadelphia
California,"Wasco, California",2024,,24244.0,Wasco,California,Wasco
California,"Victorville, California",2024,,6055.0,Victorville,California,Victorville
California,"Ventura, California",2024,,85736.0,Ventura,California,Ventura
California,"Van Nuys, California",2024,,68086.0,Van Nuys,California,Van Nuys
California,"Turlock-Denair, California",2024,,30546.0,Turlock-Denair,California,Turlock-Denair
California,"Truckee, California",2024,,14671.0,Truckee,California,Truckee
California,"Suisun-Fairfield, California",2024,,65549.0,Suisun-Fairfield,California,Suisun-Fairfield
California,"Stockton (San Joaquin St.), California",2024,,265645.0,Stockton (San Joaquin St.),California,Stockton (San Joaquin St.)
California,"Stockton (Downtown), California",2024,,6496.0,Stockton (Downtown),California,Stockton (Downtown)
California,"Solana Beach, California",2024,,180330.0,Solana Beach,California,Solana Beach
California,"Simi Valley, California",2024,,42299.0,Simi Valley,California,Simi Valley
California,"Santa Clara (University), California",2024,,34228.0,Santa Clara (University),California,Santa Clara (University)
California,"Santa Clara (Great America), California",2024,,77373.0,Santa Clara (Great America),California,Santa Clara (Great America)
California,"Santa Barbara, California",2024,,332025.0,Santa Barbara,California,Santa Barbara
California,"Santa Ana, California",2024,,105693.0,Santa Ana,California,Santa Ana
California,"San Luis Obispo, California",2024,,91535.0,San Luis Obispo,California,San Luis Obispo
California,"San Juan Capistrano, California",2024,,133917.0,San Juan Capistrano,California,San Juan Capistrano
California,"San Jose, California",2024,,151289.0,San Jose,California,San Jose
California,"San Diego, California",2024,,455321.0,San Diego,California,San Diego
California,"San Diego-Old Town, California",2024,,290461.0,San Diego-Old Town,California,San Diego-Old Town
California,"San Clemente Pier, California",2024,,14518.0,San Clemente Pier,California,San Clemente Pier
California,"San Bernardino, California",2024,,8939.0,San Bernardino,California,San Bernardino
California,"Salinas, California",2024,,20034.0,Salinas,California,Salinas
California,"Sacramento, California",2024,,699279.0,Sacramento,California,Sacramento
California,"Roseville, California",2024,,35191.0,Roseville,California,Roseville
California,"Rocklin, California",2024,,8541.0,Rocklin,California,Rocklin
California,"Riverside, California",2024,,9508.0,Riverside,California,Riverside
California,"Richmond, California",2024,,183421.0,Richmond,California,Richmond
California,"Redding, California",2024,,8205.0,Redding,California,Redding
California,"Pomona, California",2024,,1255.0,Pomona,California,Pomona
California,"Paso Robles, California",2024,,9368.0,Paso Robles,California,Paso Robles
California,"Palm Springs, California",2024,,858.0,Palm Springs,California,Palm Springs
California,"Oxnard, California",2024,,98315.0,Oxnard,California,Oxnard
California,"Ontario, California",2024,,5438.0,Ontario,California,Ontario
California,"Oceanside, California",2024,,205412.0,Oceanside,California,Oceanside
California,"Oakland, California",2024,,237938.0,Oakland,California,Oakland
California,"Oakland Coliseum, California",2024,,30085.0,Oakland Coliseum,California,Oakland Coliseum
California,"Northridge, California",2024,,20539.0,Northridge,California,Northridge
California,"Needles, California",2024,,7111.0,Needles,California,Needles
California,"Moorpark, California",2024,,26156.0,Moorpark,California,Moorpark
California,"Modesto, California",2024,,101714.0,Modesto,California,Modesto
California,"Merced, California",2024,,133208.0,Merced,California,Merced
California,"Martinez, California",2024,,254586.0,Martinez,California,Martinez
California,"Madera, California",2024,,26412.0,Madera,California,Madera
California,"Los Angeles, California",2024,,1053965.0,Los Angeles,California,Los Angeles
California,"Lompoc-Surf, California",2024,,10451.0,Lompoc-Surf,California,Lompoc-Surf
California,"Lodi, California",2024,,2654.0,Lodi,California,Lodi
California,"Irvine, California",2024,,249688.0,Irvine,California,Irvine
California,"Hayward, California",2024,,32298.0,Hayward,California,Hayward
California,"Hanford, California",2024,,129465.0,Hanford,California,Hanford
California,"Guadalupe-Santa Maria, California",2024,,12493.0,Guadalupe-Santa Maria,California,Guadalupe-Santa Maria
California,"Grover Beach, California",2024,,15984.0,Grover Beach,California,Grover Beach
California,"Goleta, California",2024,,85300.0,Goleta,California,Goleta
California,"Glendale, California",2024,,56595.0,Glendale,California,Glendale
California,"Fullerton, California",2024,,216147.0,Fullerton,California,Fullerton
California,"Fresno, California",2024,,309895.0,Fresno,California,Fresno
California,"Fremont, California",2024,,31013.0,Fremont,California,Fremont
California,"Fairfield-Vacaville, California",2024,,68154.0,Fairfield-Vacaville,California,Fairfield-Vacaville
California,"Emeryville, California",2024,,392000.0,Emeryville,California,Emeryville
California,"Dunsmuir, California",2024,,3851.0,Dunsmuir,California,Dunsmuir
California,"Davis, California",2024,,248593.0,Davis,California,Davis
California,"Corcoran, California",2024,,21640.0,Corcoran,California,Corcoran
California,"Colfax, California",2024,,5967.0,Colfax,California,Colfax
California,"Col. Allensworth Park, California",2024,,1422.0,Col. Allensworth Park,California,Col. Allensworth Park
California,"Chico, California",2024,,9281.0,Chico,California,Chico
California,"Chatsworth, California",2024,,55652.0,Chatsworth,California,Chatsworth
California,"Carpinteria, California",2024,,26761.0,Carpinteria,California,Carpinteria
California,"Camarillo, California",2024,,54884.0,Camarillo,California,Camarillo
California,"Burbank, California",2024,,10710.0,Burbank,California,Burbank
California,"Burbank Airport, California",2024,,57024.0,Burbank Airport,California,Burbank Airport
California,"Berkeley, California",2024,,92001.0,Berkeley,California,Berkeley
California,"Barstow, California",2024,,2672.0,Barstow,California,Barstow
California,"Bakersfield, California",2024,,389746.0,Bakersfield,California,Bakersfield
California,"Auburn, California",2024,,8618.0,Auburn,California,Auburn
California,"Antioch-Pittsburg, California",2024,,33639.0,Antioch-Pittsburg,California,Antioch-Pittsburg
California,"Anaheim, California",2024,,190455.0,Anaheim,California,Anaheim
Colorado,"Winter Park-Fraser, Colorado",2024,,8460.0,Winter Park-Fraser,Colorado,Winter Park-Fraser
Colorado,"Winter Park Resort (seasonal), Colorado",2024,,17032.0,Winter Park Resort (seasonal),Colorado,Winter Park Resort (seasonal)
Colorado,"Trinidad, Colorado",2024,,7097.0,Trinidad,Colorado,Trinidad
Colorado,"Lamar, Colorado",2024,,1281.0,Lamar,Colorado,Lamar
Colorado,"La Junta, Colorado",2024,,6272.0,La Junta,Colorado,La Junta
Colorado,"Grand Junction, Colorado",2024,,26926.0,Grand Junction,Colorado,Grand Junction
Colorado,"Granby, Colorado",2024,,3627.0,Granby,Colorado,Granby
Colorado,"Glenwood Springs, Colorado",2024,,36853.0,Glenwood Springs,Colorado,Glenwood Springs
Colorado,"Fort Morgan, Colorado",2024,,3220.0,Fort Morgan,Colorado,Fort Morgan
Colorado,"Denver, Colorado",2024,,117811.0,Denver,Colorado,Denver
Connecticut,"Windsor, Connecticut",2024,,25406.0,Windsor,Connecticut,Windsor
Connecticut,"Windsor Locks, Connecticut",2024,,35387.0,Windsor Locks,Connecticut,Windsor Locks
Connecticut,"Wallingford, Connecticut",2024,,17840.0,Wallingford,Connecticut,Wallingford
Connecticut,"Stamford, Connecticut",2024,,388485.0,Stamford,Connecticut,Stamford
Connecticut,"Old Saybrook, Connecticut",2024,,86325.0,Old Saybrook,Connecticut,Old Saybrook
Connecticut,"New London, Connecticut",2024,,185348.0,New London,Connecticut,New London
Connecticut,"New Haven, Connecticut",2024,,907500.0,New Haven,Connecticut,New Haven
Connecticut,"New Haven State Street, Connecticut",2024,,37027.0,New Haven State Street,Connecticut,New Haven State Street
Connecticut,"Mystic, Connecticut",2024,,44294.0,Mystic,Connecticut,Mystic
Connecticut,"Meriden, Connecticut",2024,,40846.0,Meriden,Connecticut,Meriden
Connecticut,"Hartford, Connecticut",2024,,279696.0,Hartford,Connecticut,Hartford
Connecticut,"Bridgeport, Connecticut",2024,,144127.0,Bridgeport,Connecticut,Bridgeport
Connecticut,"Berlin, Connecticut",2024,,41620.0,Berlin,Connecticut,Berlin
Delaware,"Wilmington, Delaware",2024,,787979.0,Wilmington,Delaware,Wilmington
Delaware,"Newark, Delaware",2024,,44830.0,Newark,Delaware,Newark
District of Columbia,"Washington Union Station, District of Columbia",2024,,5639617.0,Washington Union Station,District of Columbia,Washington Union Station
Florida,"Winter Park, Florida",2024,,23440.0,Winter Park,Florida,Winter Park
Florida,"Winter Haven, Florida",2024,,27755.0,Winter Haven,Florida,Winter Haven
Florida,"West Palm Beach, Florida",2024,,45178.0,West Palm Beach,Florida,West Palm Beach
Florida,"Tampa, Florida",2024,,144298.0,Tampa,Florida,Tampa
Florida,"Sebring, Florida",2024,,16718.0,Sebring,Florida,Sebring
Florida,"Sanford (Auto Train Station), Florida",2024,,268818.0,Sanford (Auto Train Station),Florida,Sanford (Auto Train Station)
Florida,"Palatka, Florida",2024,,13522.0,Palatka,Florida,Palatka
Florida,"Orlando, Florida",2024,,123958.0,Orlando,Florida,Orlando
Florida,"Okeechobee, Florida",2024,,4758.0,Okeechobee,Florida,Okeechobee
Florida,"Miami, Florida",2024,,76474.0,Miami,Florida,Miami
Florida,"Lakeland, Florida",2024,,22861.0,Lakeland,Florida,Lakeland
Florida,"Kissimmee, Florida",2024,,34145.0,Kissimmee,Florida,Kissimmee
Florida,"Jacksonville, Florida",2024,,74383.0,Jacksonville,Florida,Jacksonville
Florida,"Hollywood, Florida",2024,,21522.0,Hollywood,Florida,Hollywood
Florida,"Fort Lauderdale, Florida",2024,,42586.0,Fort Lauderdale,Florida,Fort Lauderdale
Florida,"Delray Beach, Florida",2024,,13202.0,Delray Beach,Florida,Delray Beach
Florida,"DeLand, Florida",2024,,17777.0,DeLand,Florida,DeLand
Florida,"Deerfield Beach, Florida",2024,,20700.0,Deerfield Beach,Florida,Deerfield Beach
Georgia,"Toccoa, Georgia",2024,,2181.0,Toccoa,Georgia,Toccoa
Georgia,"Savannah, Georgia",2024,,66071.0,Savannah,Georgia,Savannah
Georgia,"Jesup, Georgia",2024,,9132.0,Jesup,Georgia,Jesup
Georgia,"Gainesville, Georgia",2024,,5033.0,Gainesville,Georgia,Gainesville
Georgia,"Atlanta, Georgia",2024,,78276.0,Atlanta,Georgia,Atlanta
Idaho,"Sandpoint, Idaho",2024,,6469.0,Sandpoint,Idaho,Sandpoint
Illinois,"Summit, Illinois",2024,,19749.0,Summit,Illinois,Summit
Illinois,"Springfield, Illinois",2024,,157496.0,Springfield,Illinois,Springfield
Illinois,"Rantoul, Illinois",2024,,5014.0,Rantoul,Illinois,Rantoul
Illinois,"Quincy, Illinois",2024,,28226.0,Quincy,Illinois,Quincy
Illinois,"Princeton, Illinois",2024,,26481.0,Princeton,Illinois,Princeton
Illinois,"Pontiac, Illinois",2024,,15310.0,Pontiac,Illinois,Pontiac
Illinois,"Plano, Illinois",2024,,5289.0,Plano,Illinois,Plano
Illinois,"Naperville, Illinois",2024,,30704.0,Naperville,Illinois,Naperville
Illinois,"Mendota, Illinois",2024,,15963.0,Mendota,Illinois,Mendota
Illinois,"Mattoon, Illinois",2024,,31865.0,Mattoon,Illinois,Mattoon
Illinois,"Macomb, Illinois",2024,,44122.0,Macomb,Illinois,Macomb
Illinois,"Lincoln, Illinois",2024,,18240.0,Lincoln,Illinois,Lincoln
Illinois,"La Grange Road, Illinois",2024,,8892.0,La Grange Road,Illinois,La Grange Road
Illinois,"Kewanee, Illinois",2024,,11050.0,Kewanee,Illinois,Kewanee
Illinois,"Kankakee, Illinois",2024,,17459.0,Kankakee,Illinois,Kankakee
Illinois,"Joliet, Illinois",2024,,70113.0,Joliet,Illinois,Joliet
Illinois,"Homewood, Illinois",2024,,40820.0,Homewood,Illinois,Homewood
Illinois,"Glenview, Illinois",2024,,56587.0,Glenview,Illinois,Glenview
Illinois,"Gilman, Illinois",2024,,2161.0,Gilman,Illinois,Gilman
Illinois,"Galesburg, Illinois",2024,,65549.0,Galesburg,Illinois,Galesburg
Illinois,"Effingham, Illinois",2024,,21069.0,Effingham,Illinois,Effingham
Illinois,"Dwight, Illinois",2024,,5511.0,Dwight,Illinois,Dwight
Illinois,"Du Quoin, Illinois",2024,,5773.0,Du Quoin,Illinois,Du Quoin
Illinois,"Chicago, Illinois",2024,,3011972.0,Chicago,Illinois,Chicago
Illinois,"Champaign-Urbana, Illinois",2024,,236153.0,Champaign-Urbana,Illinois,Champaign-Urbana
Illinois,"Centralia, Illinois",2024,,15989.0,Centralia,Illinois,Centralia
Illinois,"Carlinville, Illinois",2024,,9756.0,Carlinville,Illinois,Carlinville
Illinois,"Carbondale, Illinois",2024,,77240.0,Carbondale,Illinois,Carbondale
Illinois,"Bloomington/Normal, Illinois",2024,,232762.0,Bloomington/Normal,Illinois,Bloomington/Normal
Illinois,"Alton, Illinois",2024,,68538.0,Alton,Illinois,Alton
Indiana,"Waterloo, Indiana",2024,,20881.0,Waterloo,Indiana,Waterloo
Indiana,"South Bend, Indiana",2024,,22769.0,South Bend,Indiana,South Bend
Indiana,"Rensselaer, Indiana",2024,,459.0,Rensselaer,Indiana,Rensselaer
Indiana,"Lafayette, Indiana",2024,,5029.0,Lafayette,Indiana,Lafayette
Indiana,"Indianapolis, Indiana",2024,,12121.0,Indianapolis,Indiana,Indianapolis
Indiana,"Hammond-Whiting, Indiana",2024,,4257.0,Hammond-Whiting,Indiana,Hammond-Whiting
Indiana,"Elkhart, Indiana",2024,,19320.0,Elkhart,Indiana,Elkhart
Indiana,"Dyer, Indiana",2024,,1164.0,Dyer,Indiana,Dyer
Indiana,"Crawfordsville, Indiana",2024,,1794.0,Crawfordsville,Indiana,Crawfordsville
Indiana,"Connersville, Indiana",2024,,618.0,Connersville,Indiana,Connersville
Iowa,"Ottumwa, Iowa",2024,,8719.0,Ottumwa,Iowa,Ottumwa
Iowa,"Osceola, Iowa",2024,,13194.0,Osceola,Iowa,Osceola
Iowa,"Mount Pleasant, Iowa",2024,,9128.0,Mount Pleasant,Iowa,Mount Pleasant
Iowa,"Fort Madison, Iowa",2024,,4989.0,Fort Madison,Iowa,Fort Madison
Iowa,"Creston, Iowa",2024,,2433.0,Creston,Iowa,Creston
Iowa,"Burlington, Iowa",2024,,6686.0,Burlington,Iowa,Burlington
Kansas,"Topeka, Kansas",2024,,7510.0,Topeka,Kansas,Topeka
